,Bal,Brick,Dist,District,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Totsp,Walk,lat,lon,rooms
6254,1,0.0,31569.335632102007,8,7,9,21,25,0,1,3600000,37,0.0,55.60517,37.190388,1
6255,1,,18640.088817866563,8,2,–,–,5,1,2,3676596,38.1,0.0,55.632071,37.416352,1
6256,1,,18640.088817866563,8,2,–,–,5,1,2,3687222,38.2,0.0,55.632071,37.416352,1
6257,1,,18640.088817866563,8,3,–,–,5,1,2,3756660,38.1,0.0,55.632071,37.416352,1
6258,1,,18640.088817866563,8,2,–,–,5,1,1,3807932,38.6,0.0,55.632071,37.416352,1
6259,1,,18640.088817866563,8,7,–,–,5,1,2,3820656,38.4,0.0,55.632071,37.416352,1
6260,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3828836,38.1,0.0,55.632071,37.416352,1
6261,1,0.0,18640.088817866563,8,3,10.6,14.4,10,1,2,3841914,38.2,0.0,55.632071,37.416352,1
6262,1,,18640.088817866563,8,5,–,–,5,1,2,3844932,38.2,0.0,55.632071,37.416352,1
6263,1,,18640.088817866563,8,5,–,–,5,1,2,3857004,38.3,0.0,55.632071,37.416352,1
6264,1,0.0,18640.088817866563,8,6,10.6,14.4,10,1,2,3885184,38.2,0.0,55.632071,37.416352,1
6265,1,0.0,18640.088817866563,8,1,10.6,14.4,10,1,9,3885172,38.6,0.0,55.632071,37.416352,1
6266,1,0.0,25103.713362924515,8,9,10,21,15,0,1,3890000,37,0.0,55.614633,37.304626,1
6267,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,1,3951126,38.5,0.0,55.632071,37.416352,1
6268,1,0.0,18640.088817866563,8,1,10.6,14.5,10,1,5,3959334,38.6,0.0,55.632071,37.416352,1
6269,1,,18640.088817866563,8,1,–,–,5,1,8,3964464,38.6,0.0,55.632071,37.416352,1
6270,1,,18640.088817866563,8,1,–,–,5,1,7,3974724,38.7,0.0,55.632071,37.416352,1
6271,1,,18640.088817866563,8,2,–,–,5,1,4,4046974,38.7,0.0,55.632071,37.416352,1
6272,1,1.0,13196.075416137059,8,8,12.5,17.9,10,1,1,11956831,47.8,0.0,55.672691,37.466691,1
6273,1,1.0,14629.071102651611,8,3,18.8,146,5,0,1,63000000,165,1.0,55.652197,37.473042,4
6274,0,1.0,14567.777131746398,8,2,20,90,10,0,2,50000000,124,0.0,55.652903,37.473033,3
6275,0,,21333.821218180416,8,3,–,15,26,0,3,1399222,15.2,0.0,55.646289,37.337639,1
6276,0,1.0,20866.771082872798,8,3,5,10.3,15,1,3,1399333,15.3,0.0,55.651236,37.340662,1
6277,0,1.0,20866.771082872798,8,1,–,20,17,1,3,1599111,20.1,0.0,55.651236,37.340662,1
6278,0,1.0,20989.368212358444,8,1,5,15.4,23,0,3,1599444,20.4,0.0,55.650643,37.339014,1
6279,0,1.0,19797.827352347384,8,3,6,32.1,15,0,3,2999111,38.1,0.0,55.655473,37.356154,2
6280,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,1,3563700,33.9,0.0,55.632071,37.416352,1
6281,1,0.0,18640.088817866563,8,1,8.8,15.1,10,1,6,3574200,34.0,0.0,55.632071,37.416352,1
6282,1,0.0,31569.335632102007,8,7,9,21,25,0,1,3600000,37,0.0,55.60517,37.190388,1
6283,1,,18640.088817866563,8,2,–,–,5,1,2,3676596,38.1,0.0,55.632071,37.416352,1
